ID,URL,高専,チーム名,作品名,チーム画像URL,作品画像URL,メンター,メンター所属,メンター画像URL,メンターURL,プレゼン順,プレゼンURL,順位,企業評価額(億円),投資額(億円),受賞
DCON2022_1,https://dcon.ai/2022/products/%e4%b8%80%e9%96%a2%e5%b7%a5%e6%a5%ad%e9%ab%98%e7%ad%89%e5%b0%82%e9%96%80%e5%ad%a6%e6%a0%a1-d-walk/,一関工業高等専門学校,Team MJ,D-walk,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E4%B8%80%E9%96%A2-2048x1365.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_TeamMJ-1.jpg,岡田 陽介,株式会社ABEJA 代表取締役CEO,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img01.jpg,https://abejainc.com/ja/,10,https://live.nicovideo.jp/watch/lv336255155#2:50:22,1,10,5,最優秀賞、丸井グループ賞
DCON2022_2,https://dcon.ai/2022/products/izanai/,沼津工業高等専門学校,NagAI,IZanAI,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E6%B2%BC%E6%B4%A5%E9%AB%98%E5%B0%82.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E6%B2%BC%E6%B4%A5%E9%AB%98%E5%B0%82.png,渋谷 修太,フラー株式会社 代表取締役会長,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img07.jpg,https://www.fuller-inc.com/,4,https://live.nicovideo.jp/watch/lv336255155#1:01:13,8,2.7,0.3,アイング賞、NECソリューションイノベータ賞
DCON2022_3,https://dcon.ai/2022/products/%e7%86%b1%e4%b8%ad%e7%97%87%e3%83%aa%e3%82%b9%e3%82%af%e5%8f%af%e8%a6%96%e5%8c%96%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0/,豊田工業高等専門学校,早坂・大畑Lab,熱中症リスクを可視化する健康レジリエンスシステム,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E8%B1%8A%E7%94%B0%E9%AB%98%E5%B0%82-Taichi-Hayasaka-2048x1536.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E8%B1%8A%E7%94%B0%E9%AB%98%E5%B0%82.jpg,伊豫 愉芸子,"RABO, Inc. President & CEO",https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_rabo.png,https://rabo.cat/,3,https://live.nicovideo.jp/watch/lv336255155#0:46:07,10,0.5,0.05,ウエスタンデジタル賞
DCON2022_4,https://dcon.ai/2022/products/seenet/,鳥羽商船高等専門学校,ezaki-lab,seenet,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F-18412%E6%A0%97%E7%94%B0-%E3%81%A1%E3%81%AF%E3%82%8B.jpeg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E3%81%AE%E5%86%99%E7%9C%9F-18412%E6%A0%97%E7%94%B0-%E3%81%A1%E3%81%AF%E3%82%8B-2048x1540.png,草野 隆史,株式会社ブレインパッド 代表取締役社長,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img03.jpg,https://www.brainpad.co.jp/,1,https://live.nicovideo.jp/watch/lv336255155#0:13:30,6,3,0.6,QUICK賞
DCON2022_5,https://dcon.ai/2022/products/rainner/,明石工業高等専門学校,Akashi Intelligence,R☆AI☆NNER,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/Akashi-Intelligence-Member-%E9%AB%98%E5%B0%82%E7%94%9FYouTuber-_-at-Akashi-Kosen.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E6%98%8E%E7%9F%B3%E9%AB%98%E5%B0%82.jpeg,田中 邦裕,さくらインターネット株式会社 代表取締役社長,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img08.jpg,https://www.sakura.ad.jp/corporate/,6,https://live.nicovideo.jp/watch/lv336255155#1:45:28,5,7.5,2.5,
DCON2022_6,https://dcon.ai/2022/products/newsmartgathering/,大島商船高等専門学校,大島商船 農業支援研究会,New Smart Gathering,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E9%9B%86%E5%90%88%E5%86%99%E7%9C%9F_%E5%A4%A7%E5%B3%B6%E5%95%86%E8%88%B9-Agri-Oshima-2048x1152.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F-_%E5%A4%A7%E5%B3%B6%E5%95%86%E8%88%B9.png,福野 泰介,株式会社jig.jp 取締役会長,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_fukuno.jpg,https://jig.jp/,7,https://live.nicovideo.jp/watch/lv336255155#2:00:31,2,10,3,経済産業大臣賞、KDDI賞、AGC賞
DCON2022_7,https://dcon.ai/2022/products/%e5%81%a5%e5%ba%b7%e7%8a%b6%e6%85%8b%e8%a6%8b%e5%ae%88%e3%82%8a%e3%82%b7%e3%82%b9%e3%83%86%e3%83%a0/,香川高等専門学校 詫間キャンパス,Tutelary,健康状態見守りシステム,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/Tutelary_%E9%9B%86%E5%90%88%E5%86%99%E7%9C%9F.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E9%A6%99%E5%B7%9D_-%E6%9F%8F%E5%8E%9F%E6%82%A0%E4%BA%BA-2048x1156.png,折茂 美保,ボストン コンサルティング グループ マネージング・ディレクター & パートナー,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_orimo.jpg,https://www.bcg.com/ja-jp/,8,https://live.nicovideo.jp/watch/lv336255155#2:18:18,4,7.5,2.5,文部科学大臣賞
DCON2022_8,https://dcon.ai/2022/products/%e3%81%93%e3%82%93%e3%81%a9%e3%82%8b/,香川高等専門学校 詫間キャンパス,こんどる？,こんどる? -混雑情報受信システム,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%81%93%E3%82%93%E3%81%A8%E3%82%99%E3%82%8B_%E3%83%81%E3%83%BC%E3%83%A0%E3%81%AE%E5%86%99%E7%9C%9F-Hito-Yama-2048x1532.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%81%93%E3%82%93%E3%81%A8%E3%82%99%E3%82%8B_%E4%BD%9C%E5%93%81%E3%81%AE%E5%86%99%E7%9C%9F-Hito-Yama.jpg,小野 裕史,17LIVE Inc. 代表取締役/Global CEO,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img02.jpg,https://jp.17.live/,5,https://live.nicovideo.jp/watch/lv336255155#1:15:42,7,3,0.5,
DCON2022_9,https://dcon.ai/2022/products/otodemiru/,佐世保工業高等専門学校,Iha_labo,OtodeMiru ~音解析技術を用いた森の見守りシステム~,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E4%BD%90%E4%B8%96%E4%BF%9D-2048x1365.jpg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E7%B4%B9%E4%BB%8B_%E4%BD%90%E4%B8%96%E4%BF%9D.png,佐藤 聡,connectome.design株式会社 代表取締役社長,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img05.jpg,https://www.connectome.design/,2,https://live.nicovideo.jp/watch/lv336255155#0:29:39,3,10,3,
DCON2022_10,https://dcon.ai/2022/products/%e3%83%9d%e3%83%b3%e3%83%88%e3%82%b9/,沖縄工業高等専門学校,美ら海ペッ取ラーズ,ポントス,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E6%B2%96%E7%B8%84-%E5%B1%B1%E5%9F%8E%E5%84%AA%E5%A4%AA-2048x1536.jpeg,https://dcon.ai/2022/wp-content/uploads/sites/2/2022/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E6%B2%96%E7%B8%84_%E3%83%9B%E3%82%9A%E3%83%B3%E3%83%88%E3%82%B9-%E5%B1%B1%E5%9F%8E%E5%84%AA%E5%A4%AA.png,岩佐 琢磨,株式会社Shiftall 代表取締役CEO,https://dcon.ai/2022/wp-content/themes/dcon2022/images/mentor/mentor_img10.jpg,https://ja.shiftall.net/,9,https://live.nicovideo.jp/watch/lv336255155#2:34:31,9,2,1,
